Fecha,Área,Necesidad_Personal,Proyectos_Activos,Rotacion_Empleados,Ausentismo,Horas_Extras,Clima_Laboral
2023-11-01,Marketing,44,12,7.7,8.83,7.75,7.5
2020-10-01,Finanzas,16,2,9.09,2.92,7.82,4.3
2022-01-01,Operaciones,21,9,3.48,8.72,0.42,8.0
2020-06-01,Recursos Humanos,25,14,0.5,0.72,8.25,8.1
2018-11-01,Marketing,29,4,4.2,8.92,7.27,9.5
2021-12-01,Recursos Humanos,20,14,9.71,3.42,1.25,8.7
2023-03-01,Finanzas,40,2,1.68,6.07,4.81,5.7
2019-08-01,Recursos Humanos,28,7,7.49,8.07,1.1,8.5
2019-11-01,IT,13,12,8.81,6.76,7.62,9.0
2018-10-01,Finanzas,10,13,5.24,8.33,3.5,6.2
2023-11-01,Finanzas,30,2,5.68,5.87,7.44,4.3
2022-09-01,Marketing,23,2,6.15,14.98,0.34,6.7
2023-04-01,Finanzas,23,3,6.56,7.62,1.32,8.0
2022-03-01,Finanzas,41,6,9.86,2.25,8.2,7.9
2018-08-01,IT,10,3,9.38,14.85,9.13,6.0
2020-10-01,Marketing,20,10,4.29,0.13,7.89,9.6
2018-06-01,IT,28,1,4.69,12.69,4.31,4.1
2019-08-01,Operaciones,24,1,6.17,2.65,3.79,9.4
2019-07-01,Recursos Humanos,25,3,8.63,7.51,2.6,9.8
2022-07-01,Recursos Humanos,35,14,1.09,8.94,8.72,6.9
2022-03-01,Finanzas,32,5,3.96,9.98,0.85,9.4
2022-12-01,Marketing,16,2,7.94,11.16,7.71,6.0
2019-10-01,Finanzas,19,6,9.66,3.52,3.74,4.0
2021-11-01,Operaciones,25,13,6.61,10.64,5.88,8.5
2022-08-01,Finanzas,18,11,9.0,0.07,4.77,5.7
2022-12-01,Finanzas,34,5,4.51,13.09,3.19,9.8
2022-10-01,IT,21,5,9.89,9.5,7.32,4.3
2018-05-01,IT,20,13,0.36,5.39,3.99,7.2
2018-02-01,Marketing,19,12,0.33,2.93,0.11,5.8
2018-10-01,Finanzas,25,12,1.37,11.05,1.18,4.4
2023-06-01,Finanzas,38,7,2.81,9.64,5.55,6.1
2022-06-01,Marketing,37,9,6.67,11.22,0.57,7.2
2018-10-01,Recursos Humanos,23,13,0.4,2.69,0.13,5.0
2019-12-01,Marketing,27,12,1.28,11.42,1.98,4.4
2021-04-01,Operaciones,34,8,7.16,12.82,3.98,10.0
2020-12-01,Finanzas,20,5,7.03,13.44,0.74,6.7
2022-10-01,Operaciones,21,3,2.61,10.18,5.3,5.5
2018-09-01,Marketing,28,10,9.51,6.4,5.08,7.5
2018-10-01,IT,16,12,7.22,6.68,7.13,4.7
2020-01-01,Finanzas,29,10,4.14,1.84,9.01,8.9
2022-02-01,Marketing,24,7,5.57,1.2,5.47,7.2
2023-08-01,IT,36,7,4.37,13.67,9.58,4.8
2022-01-01,Marketing,29,6,4.6,9.93,0.99,8.0
2018-04-01,Operaciones,14,4,5.61,8.21,0.98,6.3
2023-03-01,Marketing,36,10,0.65,10.42,0.98,7.5
2022-03-01,IT,24,4,8.52,0.52,8.93,5.3
2018-08-01,Operaciones,28,13,7.16,3.99,3.12,8.0
2019-10-01,IT,30,14,3.76,5.75,5.36,10.0
2021-04-01,IT,32,9,8.04,2.98,1.11,4.3
2021-01-01,Marketing,38,12,1.87,1.45,0.57,5.0
2020-05-01,Finanzas,29,7,3.09,11.49,4.91,7.8
2021-04-01,Operaciones,18,7,0.74,13.17,5.1,9.7
2018-04-01,IT,14,2,5.9,7.6,9.05,9.5
2023-10-01,IT,24,3,6.04,14.09,5.25,6.4
2020-04-01,Recursos Humanos,24,14,6.47,14.99,6.35,5.5
2022-08-01,Finanzas,21,6,0.04,10.91,0.45,5.9
2021-05-01,Finanzas,18,10,3.3,1.83,8.67,4.9
2020-11-01,Marketing,19,1,5.48,1.85,2.53,6.5
2018-04-01,IT,24,5,9.31,7.19,4.32,6.3
2023-11-01,Recursos Humanos,40,7,4.42,14.39,2.97,5.2
2019-05-01,Operaciones,10,14,6.6,5.67,5.32,9.7
2022-01-01,Operaciones,23,12,5.99,12.3,7.99,6.6
2019-04-01,Operaciones,23,3,8.72,13.33,6.43,9.0
2018-09-01,IT,27,11,1.01,14.12,9.74,7.7
2020-08-01,IT,27,2,0.7,0.36,7.41,4.2
2020-05-01,Operaciones,21,9,7.01,5.52,1.32,6.4
2018-11-01,Operaciones,26,10,7.52,7.26,3.8,5.7
2019-10-01,IT,12,2,7.99,10.76,5.37,8.1
2022-10-01,Recursos Humanos,19,11,6.68,12.87,4.69,4.6
2021-12-01,Finanzas,27,5,1.01,5.07,6.94,7.8
2021-09-01,Recursos Humanos,18,4,3.79,9.8,1.02,8.2
2018-12-01,Marketing,23,14,0.47,1.65,4.17,8.5
2022-08-01,Operaciones,40,11,9.73,3.68,9.17,4.8
2022-07-01,IT,30,14,4.44,13.11,7.84,9.7
2022-11-01,Marketing,45,11,3.5,12.58,4.93,4.4
2022-06-01,Recursos Humanos,18,5,1.56,5.75,3.85,6.6
2018-12-01,Marketing,19,14,5.25,12.59,4.42,8.3
2023-04-01,Marketing,32,13,2.65,0.54,0.85,4.4
2021-05-01,Marketing,19,9,3.13,1.82,5.4,5.6
2019-02-01,Operaciones,14,13,4.48,4.25,1.24,8.7
2020-06-01,Recursos Humanos,19,8,3.62,14.31,9.95,8.5
2021-08-01,Recursos Humanos,39,7,5.47,8.1,0.8,7.7
2018-05-01,Operaciones,20,10,5.6,13.24,8.31,5.3
2019-12-01,IT,29,14,5.91,8.42,0.27,4.0
2020-11-01,Finanzas,37,6,3.32,8.71,3.63,6.4
2018-11-01,Operaciones,18,12,2.54,4.01,7.15,8.4
2018-09-01,Marketing,24,11,8.33,1.73,6.75,6.6
2019-08-01,Marketing,18,10,4.84,11.76,1.73,4.0
2021-04-01,Operaciones,26,2,3.17,5.56,8.52,10.0
2022-02-01,Recursos Humanos,21,12,2.62,8.28,7.9,6.4
2020-05-01,Operaciones,28,9,6.67,3.76,1.09,6.3
2019-09-01,Recursos Humanos,19,13,4.51,9.13,3.07,5.2
2021-07-01,Finanzas,26,11,2.33,6.55,6.77,5.1
2020-02-01,IT,9,1,7.12,10.95,5.69,5.3
2019-11-01,IT,29,9,1.74,13.57,4.2,6.9
2020-01-01,IT,30,11,3.19,0.68,7.53,4.5
2018-06-01,Marketing,27,10,2.69,11.45,1.46,9.0
2020-08-01,Marketing,27,1,9.67,0.73,0.6,7.6
2019-03-01,Finanzas,21,3,6.52,1.09,1.32,6.9
2020-08-01,Operaciones,37,12,9.48,9.56,5.61,4.4
2018-03-01,Operaciones,22,1,2.4,3.57,3.48,6.9
2020-07-01,Operaciones,20,4,7.77,9.27,7.94,6.7
2018-06-01,Operaciones,21,7,3.97,2.44,8.47,6.5
2022-04-01,Marketing,33,7,0.51,9.41,5.67,6.7
2022-03-01,Recursos Humanos,25,10,6.98,3.53,5.59,8.2
2022-05-01,Finanzas,23,5,1.6,8.72,2.17,6.4
2019-10-01,Marketing,18,3,9.08,12.12,6.0,5.4
2018-04-01,Recursos Humanos,18,1,7.11,14.91,3.69,8.0
2019-05-01,Finanzas,8,4,6.18,9.38,9.86,8.2
2021-01-01,IT,29,7,5.68,9.03,1.68,8.9
2021-11-01,IT,31,9,8.61,0.05,8.21,7.7
2023-08-01,Marketing,25,4,7.46,7.07,6.05,8.3
2018-10-01,Recursos Humanos,21,5,8.03,9.74,4.85,9.6
2018-10-01,Finanzas,24,4,6.43,11.62,9.14,8.1
2020-09-01,Recursos Humanos,19,4,2.05,9.86,1.86,4.7
2022-07-01,Recursos Humanos,41,10,6.08,4.29,8.74,5.4
2018-07-01,IT,24,1,7.62,12.95,2.83,9.3
2020-01-01,Finanzas,16,1,0.49,0.86,4.32,5.3
2023-01-01,IT,16,12,5.33,13.24,6.97,8.2
2019-09-01,Finanzas,21,8,4.99,11.35,8.96,8.9
2023-01-01,Operaciones,33,14,9.79,3.35,1.93,6.1
2020-11-01,Marketing,34,5,7.07,13.68,0.22,7.3
2020-08-01,Marketing,34,12,6.69,13.96,9.24,5.3
2023-10-01,Recursos Humanos,21,4,2.07,0.45,8.48,6.4
2023-04-01,Operaciones,29,4,9.36,9.68,3.13,9.1
2021-01-01,Operaciones,27,12,2.94,11.25,2.24,8.3
2020-06-01,Marketing,27,1,7.7,13.33,7.83,5.7
2018-03-01,Marketing,21,3,0.74,4.59,1.15,9.7
2021-12-01,Recursos Humanos,23,1,0.49,1.14,3.52,8.3
2022-05-01,Finanzas,38,14,1.15,3.47,4.49,5.4
2019-06-01,Marketing,33,5,9.89,4.56,7.47,5.3
2019-12-01,Marketing,15,1,9.03,5.88,9.14,9.3
2023-03-01,IT,38,10,0.48,3.03,0.75,8.8
2018-12-01,Finanzas,25,11,0.21,0.55,9.25,5.9
2023-06-01,IT,34,8,5.96,2.36,3.95,6.7
2021-07-01,Operaciones,17,11,9.08,7.33,9.71,9.2
2018-03-01,Operaciones,25,9,0.54,11.31,4.87,9.4
2018-08-01,IT,13,11,1.18,3.84,9.63,8.1
2018-05-01,Operaciones,30,12,8.38,7.16,9.98,6.2
2023-02-01,Recursos Humanos,23,7,4.76,12.84,8.38,5.9
2023-02-01,Marketing,33,7,3.99,8.29,9.8,7.9
2023-07-01,Operaciones,33,9,5.53,7.33,8.1,4.0
2022-01-01,Recursos Humanos,31,13,5.47,11.68,0.15,9.7
2021-06-01,Operaciones,15,3,2.29,14.97,8.91,5.4
2019-12-01,Recursos Humanos,15,8,0.79,10.91,0.35,8.0
2019-10-01,Recursos Humanos,15,8,8.33,0.25,8.71,4.6
2018-09-01,Operaciones,13,4,0.5,4.52,5.33,4.7
2021-12-01,Finanzas,23,3,7.65,6.98,9.63,5.5
2022-09-01,Marketing,32,9,9.44,11.58,1.52,6.5
2019-07-01,Marketing,27,11,9.79,10.67,6.52,6.9
2023-02-01,Recursos Humanos,31,9,0.62,1.19,6.36,5.2
2020-03-01,Marketing,15,2,9.51,5.95,3.15,4.9
2018-02-01,IT,20,11,9.94,8.07,1.41,4.2
2022-01-01,IT,38,7,8.0,0.54,3.12,9.0
2022-10-01,Operaciones,18,7,6.29,2.53,0.44,4.9
2021-11-01,Finanzas,17,10,1.23,9.8,9.15,7.8
2019-07-01,Recursos Humanos,29,9,3.95,4.33,1.45,9.6
2023-07-01,Marketing,25,2,2.56,9.62,3.09,7.9
2018-07-01,Recursos Humanos,22,9,0.88,8.47,8.71,6.3
2023-05-01,Marketing,21,7,9.5,12.52,7.1,9.7
2018-06-01,Operaciones,20,2,5.0,6.82,3.63,4.7
2023-10-01,Operaciones,35,5,5.36,8.65,4.17,5.6
2023-06-01,Marketing,28,11,3.33,12.22,0.3,4.9
2022-09-01,Operaciones,27,8,0.5,1.77,8.57,9.4
2020-04-01,Recursos Humanos,20,8,5.89,3.47,2.44,7.9
2019-10-01,Marketing,30,9,0.42,8.46,4.76,8.2
2020-10-01,Operaciones,22,13,1.33,2.61,7.28,6.4
2023-06-01,Operaciones,16,7,0.67,0.7,5.88,9.8
2018-07-01,Recursos Humanos,31,2,6.98,13.41,9.22,5.7
2023-02-01,Finanzas,20,13,1.09,7.95,7.93,4.6
2018-04-01,Marketing,26,9,3.76,8.87,8.07,5.9
2021-06-01,IT,16,13,4.2,9.69,1.32,9.8
2018-10-01,Marketing,27,10,6.17,13.48,7.09,4.2
2018-10-01,Marketing,14,5,7.87,4.2,0.93,6.7
2019-04-01,IT,14,13,2.82,8.97,1.97,6.8
2019-04-01,Marketing,26,4,5.51,4.69,5.58,6.1
2019-02-01,Operaciones,16,13,4.21,0.17,1.59,8.2
2018-02-01,Operaciones,28,4,5.83,13.72,7.53,4.7
2019-08-01,Marketing,26,3,0.38,13.19,9.57,8.4
2023-11-01,Marketing,44,5,5.73,8.54,8.32,5.8
2021-02-01,Recursos Humanos,15,12,5.73,9.31,2.84,4.6
2020-04-01,Finanzas,16,8,7.03,2.49,3.49,8.4
2023-12-01,Marketing,39,11,4.41,13.96,3.73,9.2
2022-07-01,Recursos Humanos,38,10,6.53,14.68,4.51,9.2
2021-10-01,Operaciones,20,14,0.08,7.7,7.44,5.4
2021-01-01,Operaciones,22,7,8.28,3.56,7.43,4.2
2022-02-01,IT,35,2,1.14,4.56,2.36,6.3
2018-03-01,IT,19,1,3.51,6.63,5.4,5.3
2019-11-01,Finanzas,28,8,8.46,7.44,6.98,6.0
2018-12-01,Finanzas,13,6,4.75,12.94,0.03,4.8
2018-08-01,Recursos Humanos,23,4,1.34,9.07,7.64,4.5
2019-06-01,IT,34,11,7.41,7.12,5.32,4.6
2020-03-01,Finanzas,43,12,1.93,8.54,9.71,9.0
2018-08-01,Finanzas,21,4,0.92,9.83,5.01,4.7
2018-05-01,Operaciones,14,7,4.65,7.34,9.25,6.6
2021-06-01,IT,32,13,3.28,0.66,4.82,7.4
2021-03-01,IT,22,12,1.28,9.71,3.24,4.8
2021-08-01,Marketing,20,1,4.51,2.2,6.59,4.1
2019-10-01,Operaciones,25,2,5.31,4.27,5.08,8.7
2019-02-01,Recursos Humanos,23,2,2.36,14.72,9.62,7.1
2022-09-01,IT,22,13,4.41,10.12,5.91,6.5
2020-12-01,Marketing,25,10,7.89,3.9,9.94,4.4
2020-02-01,Finanzas,17,14,9.47,10.78,5.55,5.2
2021-04-01,Marketing,37,14,7.18,14.55,2.86,8.1
2019-10-01,Finanzas,9,2,5.89,2.29,9.78,4.2
2020-04-01,Marketing,20,7,4.6,11.42,4.67,4.2
2023-05-01,Marketing,32,13,2.81,5.26,8.49,6.8
2019-03-01,Marketing,13,3,6.85,8.68,5.46,4.4
2022-03-01,IT,33,7,8.67,9.14,4.54,9.4
2022-07-01,IT,36,5,3.06,6.87,1.98,7.0
2021-08-01,Recursos Humanos,20,12,1.47,6.87,4.87,9.1
2019-06-01,Recursos Humanos,13,3,8.45,3.5,4.52,6.3
2022-01-01,Finanzas,25,7,1.19,13.81,6.0,6.5
2023-03-01,IT,30,4,3.37,10.86,2.47,6.9
2021-01-01,Finanzas,21,4,6.71,11.48,5.77,9.4
2021-01-01,Marketing,24,14,8.1,12.51,1.7,4.7
2021-03-01,Operaciones,31,14,7.37,5.78,4.03,9.4
2023-12-01,Finanzas,29,8,2.24,2.01,4.59,5.8
2022-01-01,Finanzas,22,10,9.48,1.41,6.02,7.0
2023-09-01,Marketing,38,2,6.38,12.24,3.25,8.0
2023-07-01,Marketing,25,9,8.86,1.97,1.71,4.6
2019-02-01,Recursos Humanos,32,2,6.12,3.16,2.05,5.5
2018-01-01,IT,25,6,8.7,2.67,8.04,9.0
2023-11-01,Operaciones,29,12,5.25,8.93,1.66,8.9
2023-10-01,Recursos Humanos,22,11,5.17,13.38,5.96,5.4
2022-09-01,Recursos Humanos,14,10,4.33,4.97,2.86,8.5
2019-01-01,Operaciones,32,10,8.63,8.73,7.24,5.0
2021-08-01,Recursos Humanos,31,9,8.3,13.9,1.83,9.1
2020-05-01,Recursos Humanos,23,3,4.25,14.09,9.69,8.7
2022-11-01,Finanzas,33,1,8.53,0.65,2.59,5.0
2022-05-01,Recursos Humanos,20,1,5.78,8.24,1.37,4.9
2023-01-01,Marketing,26,5,7.58,2.73,6.94,4.1
2019-06-01,IT,20,11,1.01,3.82,4.7,6.8
2018-06-01,Finanzas,16,3,5.62,2.08,6.58,8.1
2021-09-01,IT,24,7,2.33,1.94,7.46,8.9
2019-12-01,Finanzas,20,4,7.9,7.09,0.77,4.4
2023-07-01,IT,19,12,0.83,8.94,7.13,9.5
2020-04-01,Finanzas,24,10,8.59,4.63,8.02,4.7
2021-02-01,Finanzas,29,10,9.43,0.58,6.99,9.5
2020-08-01,Finanzas,28,10,6.12,0.96,5.48,5.8
2018-11-01,IT,10,1,9.53,10.67,0.86,5.9
2018-11-01,Finanzas,30,7,8.28,11.7,4.8,9.9
2022-01-01,Finanzas,26,9,0.05,8.3,0.6,5.4
2018-09-01,Finanzas,28,4,7.73,6.33,2.59,5.2
2020-03-01,IT,38,9,8.86,6.02,4.56,8.2
2021-05-01,Operaciones,34,1,6.03,13.76,9.9,9.7
2019-01-01,Finanzas,23,14,9.18,11.48,0.47,7.0
2018-10-01,IT,10,4,2.25,9.3,0.46,7.1
2021-11-01,Recursos Humanos,22,12,4.88,2.06,0.0,5.7
2022-11-01,Recursos Humanos,24,10,7.0,11.56,8.71,7.4
2023-07-01,Marketing,42,1,0.06,6.22,7.34,6.0
2019-10-01,Marketing,18,1,8.49,14.55,4.88,5.4
2018-10-01,IT,22,7,1.6,4.36,9.44,8.7
2018-02-01,IT,18,7,2.95,5.85,0.98,5.0
2020-05-01,IT,13,5,4.1,10.48,4.5,5.3
2018-07-01,Finanzas,23,7,7.54,2.9,8.94,4.6
2022-07-01,Finanzas,31,7,4.87,8.77,6.29,4.7
2022-09-01,Operaciones,22,2,6.59,9.8,5.94,7.8
2021-05-01,Recursos Humanos,11,9,2.67,8.12,7.5,8.5
2021-06-01,Finanzas,20,5,4.06,3.77,8.21,5.0
2018-11-01,IT,7,10,6.81,10.59,1.49,9.4
2022-11-01,Marketing,46,5,2.29,7.44,3.24,7.3
2022-11-01,Operaciones,18,7,9.15,2.97,0.85,9.6
2022-10-01,Marketing,24,11,9.61,6.69,9.66,6.2
2023-12-01,Marketing,32,11,2.88,1.63,5.59,7.0
2023-04-01,Recursos Humanos,23,2,8.05,5.76,1.62,6.2
2022-01-01,Marketing,34,4,4.46,4.65,3.61,7.6
2020-05-01,Finanzas,7,1,8.38,3.04,0.58,5.5
2018-11-01,Finanzas,18,6,9.41,3.98,9.92,9.2
2022-09-01,Recursos Humanos,21,8,6.2,10.2,6.09,4.7
2020-05-01,Finanzas,17,13,0.5,2.39,8.01,5.8
2019-10-01,Operaciones,12,13,7.43,5.45,4.98,7.7
2022-10-01,IT,30,7,3.49,3.5,3.47,5.2
2020-07-01,IT,15,8,9.07,2.59,8.05,4.7
2020-04-01,Operaciones,18,3,2.45,3.42,7.07,7.2
2018-03-01,Operaciones,19,10,6.68,10.45,3.2,9.6
2020-05-01,Recursos Humanos,23,6,5.73,8.25,5.73,4.0
2022-07-01,Recursos Humanos,24,12,4.78,9.27,7.73,4.6
2021-06-01,Operaciones,33,8,6.18,0.33,8.37,4.7
2018-03-01,IT,11,6,0.14,9.83,9.73,4.2
2020-04-01,Marketing,20,7,6.57,9.42,8.7,4.2
2023-04-01,Operaciones,21,6,3.79,5.89,7.19,5.0
2023-09-01,Marketing,23,3,1.47,12.11,5.75,7.5
2023-05-01,Recursos Humanos,22,4,1.15,9.93,3.59,6.5
2023-06-01,Marketing,32,3,1.2,12.24,0.08,8.7
2021-10-01,Operaciones,27,8,8.46,14.24,6.83,6.9
2018-08-01,Finanzas,22,9,1.02,5.37,0.44,4.1
2019-08-01,IT,31,11,8.49,14.32,1.88,5.8
2021-11-01,IT,21,3,9.74,10.58,7.59,6.2
2022-06-01,Marketing,37,6,4.66,12.03,8.74,8.3
2018-04-01,Finanzas,27,2,0.37,1.23,7.83,7.7
2019-09-01,Finanzas,23,13,6.31,2.13,2.36,6.6
2019-02-01,Recursos Humanos,31,10,0.38,11.68,8.84,10.0
2019-04-01,Finanzas,28,4,4.9,12.35,6.51,6.1
2023-10-01,Marketing,25,14,6.0,10.66,4.7,6.4
2021-12-01,Finanzas,34,7,4.01,12.32,3.48,8.9
2018-05-01,Operaciones,15,6,5.97,4.1,3.88,7.3
2019-12-01,Marketing,13,7,1.9,10.19,1.98,7.3
2019-04-01,IT,16,3,0.35,5.93,0.06,9.8
2018-04-01,IT,19,6,7.35,1.88,5.22,7.2
2019-11-01,Operaciones,24,4,7.47,5.91,1.75,8.1
2019-10-01,IT,22,14,8.28,9.83,1.64,7.7
2019-02-01,Finanzas,19,7,2.85,13.19,8.72,5.2
2022-06-01,Operaciones,25,6,7.32,4.77,8.57,4.9
2022-08-01,Recursos Humanos,31,8,5.43,2.42,1.51,7.6
2021-08-01,Finanzas,34,9,6.96,4.52,9.0,9.2
2023-10-01,Recursos Humanos,26,6,2.25,12.96,1.11,8.1
2023-12-01,Finanzas,21,12,6.28,12.43,2.19,9.3
2018-01-01,Marketing,9,14,9.81,7.49,4.71,4.8
2023-12-01,Recursos Humanos,25,1,5.86,12.31,8.48,5.6
2022-05-01,Operaciones,31,1,7.33,10.02,2.83,4.3
2018-01-01,Marketing,23,3,9.29,7.36,1.94,5.6
2020-03-01,Finanzas,30,11,6.47,12.62,2.72,9.4
2021-10-01,Recursos Humanos,17,9,8.33,11.48,4.99,4.7
2022-01-01,Recursos Humanos,37,14,7.85,3.66,4.2,7.0
2023-10-01,Operaciones,15,7,7.34,5.35,5.0,4.7
2019-02-01,Finanzas,19,12,8.51,9.56,2.66,6.9
2018-04-01,IT,23,11,2.0,1.21,5.36,9.3
2019-05-01,Finanzas,22,9,5.3,12.35,4.17,4.1
2020-01-01,IT,24,3,3.64,13.23,8.58,9.6
2019-06-01,Marketing,25,3,2.33,1.18,1.32,9.7
2018-05-01,IT,12,14,7.24,11.42,2.28,4.6
2023-07-01,IT,28,6,2.92,12.02,9.52,6.5
2021-07-01,Marketing,22,3,3.33,5.99,9.54,7.4
2020-08-01,Finanzas,24,11,4.87,2.71,3.11,4.5
2019-11-01,Recursos Humanos,16,6,5.61,0.9,6.52,5.3
2021-04-01,Recursos Humanos,22,4,0.05,1.79,6.89,5.7
2021-11-01,Recursos Humanos,14,12,6.23,3.68,4.17,7.9
2020-09-01,Marketing,24,12,4.82,2.57,0.44,4.3
2018-03-01,IT,24,8,5.84,4.53,4.02,7.5
2019-06-01,Marketing,12,3,5.02,5.03,3.11,5.3
2018-04-01,Operaciones,21,12,2.08,13.92,6.54,5.5
2020-04-01,Operaciones,11,13,2.32,0.29,5.41,8.1
2018-11-01,Marketing,26,11,7.49,8.83,5.96,8.3
2018-01-01,Operaciones,28,3,4.1,9.94,5.98,9.3
2022-05-01,Recursos Humanos,23,9,5.62,8.62,0.19,6.9
2022-08-01,Recursos Humanos,21,1,4.54,1.41,0.58,5.7
2020-09-01,IT,33,6,1.81,13.37,0.8,4.1
2019-07-01,Finanzas,26,8,4.39,11.66,5.08,6.7
2018-03-01,Recursos Humanos,20,14,2.45,4.8,7.3,9.5
2020-06-01,IT,12,4,4.88,10.54,9.25,8.9
2020-06-01,Finanzas,17,1,6.63,2.04,9.4,6.7
2020-06-01,Recursos Humanos,23,1,5.53,10.26,6.23,5.6
2018-12-01,Recursos Humanos,23,3,2.2,10.22,8.73,5.2
2020-08-01,Recursos Humanos,17,10,0.28,3.53,8.84,4.4
2021-03-01,Marketing,24,13,1.54,4.15,1.03,4.2
2021-10-01,Operaciones,31,2,8.78,10.56,2.32,9.0
2020-12-01,Marketing,24,14,2.81,8.57,5.65,7.0
2022-02-01,Operaciones,19,8,6.01,8.86,7.88,4.5
2022-04-01,Operaciones,41,14,9.4,8.22,2.85,9.1
2021-06-01,Recursos Humanos,24,1,4.05,8.36,9.47,9.0
2022-02-01,Recursos Humanos,34,5,2.24,8.52,0.8,4.7
2019-10-01,Operaciones,11,7,8.13,4.09,4.35,9.1
2022-04-01,Recursos Humanos,38,10,9.89,12.54,5.04,9.3
2018-09-01,IT,16,10,2.73,11.61,5.87,6.7
2022-11-01,Marketing,33,2,2.32,1.33,3.29,6.8
2019-07-01,Recursos Humanos,20,4,7.79,9.02,5.87,5.8
2020-10-01,Marketing,26,9,2.03,6.98,7.04,8.6
2019-07-01,Operaciones,29,3,4.82,13.31,1.69,8.2
2023-11-01,IT,24,13,3.95,7.69,8.42,9.8
2018-10-01,Recursos Humanos,22,2,9.49,2.09,3.54,6.9
2020-06-01,Marketing,28,11,7.72,6.35,4.44,8.9
2022-06-01,Operaciones,25,14,1.88,8.49,7.92,7.5
2023-04-01,Recursos Humanos,39,3,2.03,4.88,8.88,8.0
2019-07-01,Marketing,14,1,8.72,8.72,7.88,9.9
2023-03-01,Recursos Humanos,35,13,2.23,4.95,0.64,5.8
2021-07-01,Marketing,19,12,8.87,4.8,0.34,6.1
2021-11-01,Recursos Humanos,29,3,6.91,7.16,3.68,5.9
2019-01-01,Finanzas,8,5,1.18,2.9,6.8,5.1
2018-12-01,Operaciones,27,7,8.3,5.13,1.83,4.1
2022-01-01,Operaciones,26,7,8.24,11.72,8.67,9.2
2019-01-01,IT,20,9,7.05,11.33,3.7,8.6
2020-11-01,Recursos Humanos,34,3,5.03,10.74,8.51,7.7
2023-08-01,IT,38,10,5.72,8.69,2.05,6.7
2020-08-01,Operaciones,28,9,0.64,13.15,8.31,7.9
2018-09-01,Recursos Humanos,20,6,9.62,6.61,4.89,6.9
2021-06-01,Finanzas,21,1,3.49,7.01,5.13,5.7
2023-10-01,IT,20,6,7.97,11.77,3.12,4.2
2020-05-01,Marketing,18,3,1.88,4.89,3.74,4.1
2023-04-01,Finanzas,45,7,7.67,12.66,7.56,8.9
2019-01-01,IT,17,7,7.99,12.63,8.44,6.1
2023-04-01,Marketing,24,1,3.35,11.45,7.84,9.0
2018-06-01,Finanzas,9,11,6.65,12.29,8.86,5.4
