ID_Empleado,Competencias_Actuales,Rol_Laboral,Puntuacion_Desempeno,Horas_Capacitacion_Ultimo_Ano,Antiguedad_Empresa,Habilidades_Requeridas,Objetivos_Futuros
68,Intermedio,Desarrollador,89.09787112419028,36,5,Trabajo en Equipo,Expertise Técnico
69,Avanzado,Especialista RRHH,87.42408079074343,52,5,Técnico,Habilidades Transversales
70,Intermedio,Representante de Ventas,66.4981897259504,4,13,Liderazgo,Dominio de Ventas
71,Intermedio,Analista,79.15806294457619,65,4,Resolución de Problemas,Rol de Liderazgo
72,Intermedio,Analista,69.77366664750969,14,13,Liderazgo,Rol de Liderazgo
73,Principiante,Gerente,80.28334959144823,45,16,Técnico,Dominio de Ventas
74,Intermedio,Analista,86.1556132860623,56,12,Comunicación,Dominio de Ventas
75,Intermedio,Desarrollador,73.69646449055018,7,14,Comunicación,Rol de Liderazgo
76,Avanzado,Analista,82.11572364932631,36,9,Resolución de Problemas,Habilidades Transversales
77,Avanzado,Gerente,60.90806524832075,56,6,Trabajo en Equipo,Rol de Liderazgo
78,Intermedio,Analista,66.3960944822436,13,8,Liderazgo,Dominio de Ventas
79,Intermedio,Especialista RRHH,84.00992451601283,4,16,Liderazgo,Expertise Técnico
80,Intermedio,Especialista RRHH,68.61026931765709,72,19,Técnico,Rol de Liderazgo
81,Principiante,Analista,66.73053437818561,42,2,Resolución de Problemas,Dominio de Ventas
82,Intermedio,Representante de Ventas,67.74896902193568,48,6,Trabajo en Equipo,Expertise Técnico
83,Intermedio,Analista,64.21668574397012,43,2,Resolución de Problemas,Rol de Liderazgo
84,Avanzado,Especialista RRHH,85.0467614549156,55,19,Comunicación,Habilidades Transversales
85,Principiante,Especialista RRHH,85.78503685713083,47,19,Resolución de Problemas,Habilidades Transversales
86,Intermedio,Desarrollador,67.39450892587331,29,13,Trabajo en Equipo,Rol de Liderazgo
87,Intermedio,Gerente,63.92907870055081,32,17,Trabajo en Equipo,Rol de Liderazgo
88,Principiante,Desarrollador,74.06171106180865,36,8,Liderazgo,Expertise Técnico
89,Intermedio,Representante de Ventas,63.29919574418918,49,9,Liderazgo,Habilidades Transversales
90,Avanzado,Gerente,82.05814856410922,6,5,Trabajo en Equipo,Dominio de Ventas
91,Avanzado,Analista,75.10221889685424,66,8,Liderazgo,Rol de Liderazgo
92,Intermedio,Analista,71.37043420337827,42,9,Liderazgo,Habilidades Transversales
93,Principiante,Representante de Ventas,85.21478400045896,39,16,Liderazgo,Habilidades Transversales
94,Avanzado,Especialista RRHH,65.56611742206431,31,16,Trabajo en Equipo,Rol de Liderazgo
95,Intermedio,Analista,70.73399681653261,54,12,Liderazgo,Rol de Liderazgo
96,Intermedio,Desarrollador,63.03106326803472,76,11,Comunicación,Dominio de Ventas
97,Principiante,Especialista RRHH,61.208719371856475,75,18,Trabajo en Equipo,Rol de Liderazgo
98,Principiante,Analista,65.93474797285549,8,13,Resolución de Problemas,Dominio de Ventas
99,Principiante,Especialista RRHH,66.90269227072503,8,3,Técnico,Rol de Liderazgo
100,Intermedio,Gerente,65.98035691740604,63,18,Técnico,Expertise Técnico
101,Principiante,Analista,74.08551462170097,44,11,Comunicación,Rol de Liderazgo
102,Principiante,Analista,74.00429623445693,60,11,Trabajo en Equipo,Expertise Técnico
103,Intermedio,Especialista RRHH,59.48271343324309,69,5,Resolución de Problemas,Rol de Liderazgo
104,Intermedio,Gerente,82.9723859460244,37,3,Trabajo en Equipo,Habilidades Transversales
105,Principiante,Desarrollador,59.83914858175808,74,2,Resolución de Problemas,Rol de Liderazgo
106,Principiante,Gerente,57.72413543997646,45,15,Resolución de Problemas,Expertise Técnico
107,Principiante,Desarrollador,85.36058939567083,69,5,Trabajo en Equipo,Rol de Liderazgo
108,Intermedio,Representante de Ventas,63.97235516996213,63,5,Liderazgo,Rol de Liderazgo
109,Principiante,Gerente,78.57085956151096,34,16,Técnico,Habilidades Transversales
110,Intermedio,Desarrollador,69.1618207601759,11,17,Liderazgo,Habilidades Transversales
111,Principiante,Especialista RRHH,64.9491927971383,47,7,Técnico,Expertise Técnico
112,Principiante,Desarrollador,63.14361367928542,62,2,Liderazgo,Rol de Liderazgo
113,Intermedio,Representante de Ventas,78.8037992767104,44,14,Trabajo en Equipo,Rol de Liderazgo
114,Principiante,Desarrollador,65.66437647816252,5,18,Trabajo en Equipo,Habilidades Transversales
115,Principiante,Gerente,85.95280645795295,44,12,Resolución de Problemas,Expertise Técnico
116,Intermedio,Desarrollador,59.77477651047025,31,17,Comunicación,Rol de Liderazgo
117,Intermedio,Gerente,89.15001032207324,67,6,Trabajo en Equipo,Expertise Técnico
118,Intermedio,Representante de Ventas,54.20514721362565,2,5,Técnico,Expertise Técnico
119,Principiante,Desarrollador,77.85095538775131,1,7,Resolución de Problemas,Expertise Técnico
120,Avanzado,Desarrollador,63.245472541810855,19,18,Técnico,Habilidades Transversales
121,Avanzado,Representante de Ventas,59.0849084003281,38,11,Liderazgo,Dominio de Ventas
122,Intermedio,Desarrollador,73.99959569836871,11,5,Comunicación,Habilidades Transversales
123,Intermedio,Gerente,81.75881209139894,60,6,Trabajo en Equipo,Rol de Liderazgo
124,Avanzado,Analista,73.04355295911012,35,7,Liderazgo,Expertise Técnico
125,Principiante,Analista,74.5601908977133,8,3,Resolución de Problemas,Expertise Técnico
126,Principiante,Gerente,77.03694660590071,43,3,Técnico,Expertise Técnico
127,Principiante,Desarrollador,81.17023247850314,74,2,Comunicación,Rol de Liderazgo
128,Avanzado,Gerente,91.45682500531828,52,4,Trabajo en Equipo,Rol de Liderazgo
129,Intermedio,Representante de Ventas,67.55360580013935,29,5,Técnico,Expertise Técnico
130,Avanzado,Gerente,79.78402451094914,65,2,Trabajo en Equipo,Expertise Técnico
131,Principiante,Analista,69.267753100943,37,16,Trabajo en Equipo,Expertise Técnico
132,Avanzado,Especialista RRHH,73.25253576825871,37,12,Técnico,Rol de Liderazgo
133,Avanzado,Representante de Ventas,81.82140595363748,32,15,Trabajo en Equipo,Expertise Técnico
134,Avanzado,Desarrollador,76.80993600354395,70,4,Resolución de Problemas,Expertise Técnico
135,Intermedio,Gerente,67.54052531179892,54,3,Comunicación,Habilidades Transversales
136,Avanzado,Representante de Ventas,76.04657770132555,75,14,Liderazgo,Expertise Técnico
137,Avanzado,Analista,78.52853095255414,22,13,Comunicación,Habilidades Transversales
138,Intermedio,Desarrollador,81.30741753058396,69,6,Liderazgo,Expertise Técnico
139,Intermedio,Gerente,86.41556393605842,13,4,Resolución de Problemas,Habilidades Transversales
140,Intermedio,Gerente,92.92467347046298,48,1,Comunicación,Habilidades Transversales
141,Intermedio,Desarrollador,75.02523377643922,44,3,Resolución de Problemas,Rol de Liderazgo
142,Intermedio,Especialista RRHH,63.96892200717487,76,12,Técnico,Expertise Técnico
143,Principiante,Especialista RRHH,78.16659448181,26,3,Liderazgo,Expertise Técnico
144,Intermedio,Representante de Ventas,61.62025155538266,74,18,Técnico,Expertise Técnico
145,Principiante,Gerente,94.02175191520075,66,14,Técnico,Habilidades Transversales
146,Principiante,Representante de Ventas,69.42542869646756,48,5,Comunicación,Rol de Liderazgo
147,Principiante,Desarrollador,84.85132193815565,1,1,Trabajo en Equipo,Dominio de Ventas
148,Avanzado,Representante de Ventas,78.15521507208982,59,14,Trabajo en Equipo,Habilidades Transversales
149,Principiante,Gerente,77.44386501779017,65,12,Resolución de Problemas,Dominio de Ventas
150,Avanzado,Especialista RRHH,59.18884932467651,58,1,Comunicación,Habilidades Transversales
151,Intermedio,Especialista RRHH,67.1171986344465,59,2,Técnico,Habilidades Transversales
152,Intermedio,Desarrollador,71.05680459546808,21,12,Resolución de Problemas,Expertise Técnico
153,Principiante,Analista,71.25916582284364,45,13,Técnico,Habilidades Transversales
154,Principiante,Representante de Ventas,75.92828427476411,52,15,Resolución de Problemas,Habilidades Transversales
155,Intermedio,Desarrollador,68.38623959500167,18,16,Liderazgo,Rol de Liderazgo
156,Principiante,Especialista RRHH,79.90029015016836,48,19,Resolución de Problemas,Expertise Técnico
157,Intermedio,Gerente,74.03724088057092,79,5,Resolución de Problemas,Rol de Liderazgo
158,Avanzado,Gerente,81.57464050808396,16,2,Técnico,Dominio de Ventas
159,Principiante,Analista,60.148979315072715,26,6,Trabajo en Equipo,Expertise Técnico
160,Intermedio,Analista,82.80917138087712,18,8,Técnico,Rol de Liderazgo
161,Avanzado,Especialista RRHH,91.292932097224,29,7,Comunicación,Expertise Técnico
162,Avanzado,Analista,73.4052225619284,77,13,Técnico,Expertise Técnico
163,Avanzado,Analista,87.07075681564399,45,6,Trabajo en Equipo,Dominio de Ventas
164,Avanzado,Gerente,74.72244563888094,63,9,Comunicación,Habilidades Transversales
165,Intermedio,Representante de Ventas,70.81555818636171,31,12,Trabajo en Equipo,Dominio de Ventas
166,Avanzado,Gerente,77.10912362432846,52,10,Comunicación,Rol de Liderazgo
167,Avanzado,Gerente,90.69199698385562,22,11,Técnico,Expertise Técnico
168,Intermedio,Especialista RRHH,89.88871482177066,35,1,Trabajo en Equipo,Habilidades Transversales
169,Intermedio,Especialista RRHH,59.68860773015965,9,10,Trabajo en Equipo,Rol de Liderazgo
170,Intermedio,Representante de Ventas,64.71315180195518,58,16,Liderazgo,Dominio de Ventas
171,Intermedio,Desarrollador,74.12901523465882,28,19,Liderazgo,Expertise Técnico
172,Principiante,Analista,67.92917262248166,10,10,Resolución de Problemas,Dominio de Ventas
173,Intermedio,Analista,78.82361072014393,37,15,Liderazgo,Expertise Técnico
174,Intermedio,Gerente,73.61484582179142,78,14,Trabajo en Equipo,Expertise Técnico
175,Intermedio,Gerente,70.46576822926383,31,3,Resolución de Problemas,Habilidades Transversales
176,Principiante,Representante de Ventas,94.7740337612548,51,4,Técnico,Dominio de Ventas
177,Intermedio,Analista,82.82706088754873,0,8,Resolución de Problemas,Rol de Liderazgo
178,Principiante,Gerente,82.1487823862187,13,1,Comunicación,Expertise Técnico
179,Principiante,Gerente,66.92787883961982,2,15,Resolución de Problemas,Expertise Técnico
180,Intermedio,Especialista RRHH,74.62813126097895,29,7,Liderazgo,Rol de Liderazgo
181,Intermedio,Desarrollador,73.6297234194973,30,12,Técnico,Rol de Liderazgo
182,Principiante,Representante de Ventas,75.93829063619933,0,3,Comunicación,Rol de Liderazgo
183,Intermedio,Desarrollador,70.59729284650066,45,5,Resolución de Problemas,Rol de Liderazgo
184,Intermedio,Desarrollador,84.22541078136655,13,8,Técnico,Dominio de Ventas
185,Intermedio,Representante de Ventas,88.31121097774985,35,11,Liderazgo,Expertise Técnico
186,Intermedio,Analista,82.65441164247895,45,19,Técnico,Habilidades Transversales
187,Principiante,Gerente,73.9998099377007,54,12,Técnico,Rol de Liderazgo
188,Intermedio,Representante de Ventas,70.97094006784704,35,7,Comunicación,Habilidades Transversales
189,Avanzado,Gerente,85.82455269478335,42,14,Trabajo en Equipo,Habilidades Transversales
190,Intermedio,Especialista RRHH,78.23802988742531,42,2,Liderazgo,Habilidades Transversales
191,Avanzado,Desarrollador,80.56470893777515,14,12,Comunicación,Dominio de Ventas
192,Intermedio,Especialista RRHH,78.05907341083923,37,9,Comunicación,Rol de Liderazgo
193,Intermedio,Desarrollador,67.57042888753602,43,12,Comunicación,Habilidades Transversales
194,Avanzado,Analista,90.63389407436608,54,6,Trabajo en Equipo,Habilidades Transversales
195,Intermedio,Representante de Ventas,99.53766421073485,54,6,Trabajo en Equipo,Expertise Técnico
196,Avanzado,Analista,70.67922668103988,77,19,Resolución de Problemas,Rol de Liderazgo
197,Intermedio,Desarrollador,74.6066993286747,57,6,Resolución de Problemas,Dominio de Ventas
198,Avanzado,Especialista RRHH,71.19381322526979,56,17,Liderazgo,Rol de Liderazgo
199,Intermedio,Desarrollador,68.37119290361322,55,17,Liderazgo,Rol de Liderazgo
200,Avanzado,Analista,80.96288594336522,1,17,Trabajo en Equipo,Rol de Liderazgo
201,Principiante,Analista,69.20918996034487,33,10,Trabajo en Equipo,Rol de Liderazgo
202,Intermedio,Especialista RRHH,65.44802438693554,48,11,Trabajo en Equipo,Expertise Técnico
203,Avanzado,Especialista RRHH,79.4622714168903,63,8,Comunicación,Habilidades Transversales
204,Principiante,Analista,66.25329655442243,7,14,Trabajo en Equipo,Expertise Técnico
205,Intermedio,Desarrollador,68.83991885672829,68,19,Comunicación,Dominio de Ventas
206,Avanzado,Desarrollador,68.23731283615562,57,18,Comunicación,Habilidades Transversales
207,Principiante,Representante de Ventas,79.6251997094525,42,15,Liderazgo,Rol de Liderazgo
208,Intermedio,Analista,75.74162114396508,61,18,Técnico,Expertise Técnico
209,Intermedio,Representante de Ventas,56.31155498997029,51,17,Resolución de Problemas,Rol de Liderazgo
210,Intermedio,Analista,77.85747118404488,32,5,Resolución de Problemas,Rol de Liderazgo
211,Principiante,Representante de Ventas,66.74831864939466,19,4,Liderazgo,Dominio de Ventas
212,Principiante,Gerente,90.37659264442145,79,11,Liderazgo,Habilidades Transversales
213,Principiante,Desarrollador,54.29789773155893,58,16,Trabajo en Equipo,Dominio de Ventas
214,Principiante,Desarrollador,78.75986972169876,59,7,Trabajo en Equipo,Dominio de Ventas
215,Principiante,Gerente,82.78227587425236,62,16,Trabajo en Equipo,Habilidades Transversales
216,Intermedio,Especialista RRHH,62.932481146170694,55,6,Comunicación,Dominio de Ventas
217,Intermedio,Gerente,72.21334684716585,36,10,Comunicación,Habilidades Transversales
218,Intermedio,Desarrollador,75.95333821324616,59,11,Trabajo en Equipo,Dominio de Ventas
219,Principiante,Analista,73.49640807297885,50,15,Comunicación,Expertise Técnico
220,Intermedio,Representante de Ventas,79.8727558825201,28,12,Liderazgo,Habilidades Transversales
221,Intermedio,Desarrollador,76.57728297565689,8,16,Trabajo en Equipo,Rol de Liderazgo
222,Avanzado,Gerente,82.86395523874374,39,18,Resolución de Problemas,Dominio de Ventas
223,Intermedio,Analista,78.29790046979545,67,7,Resolución de Problemas,Dominio de Ventas
224,Avanzado,Desarrollador,76.09274955260209,42,14,Comunicación,Habilidades Transversales
225,Principiante,Gerente,72.23668625389112,75,9,Resolución de Problemas,Dominio de Ventas
226,Intermedio,Desarrollador,77.47338545877668,22,6,Trabajo en Equipo,Dominio de Ventas
227,Intermedio,Gerente,92.48307167124057,7,11,Resolución de Problemas,Habilidades Transversales
228,Avanzado,Gerente,74.13677297955329,73,13,Liderazgo,Habilidades Transversales
229,Intermedio,Desarrollador,62.26577198309457,63,18,Comunicación,Dominio de Ventas
230,Intermedio,Analista,85.9585595895505,22,12,Resolución de Problemas,Habilidades Transversales
231,Principiante,Desarrollador,95.75667117202369,55,6,Comunicación,Dominio de Ventas
232,Intermedio,Desarrollador,80.77537789910205,13,9,Liderazgo,Dominio de Ventas
233,Principiante,Analista,94.64939232185489,79,18,Resolución de Problemas,Dominio de Ventas
234,Principiante,Desarrollador,76.42973473177048,16,15,Trabajo en Equipo,Rol de Liderazgo
235,Principiante,Representante de Ventas,100.0,19,9,Técnico,Habilidades Transversales
236,Avanzado,Representante de Ventas,60.31545328573213,11,10,Resolución de Problemas,Rol de Liderazgo
237,Intermedio,Representante de Ventas,73.49336872954702,72,2,Liderazgo,Expertise Técnico
238,Avanzado,Gerente,80.99129034152807,71,14,Técnico,Expertise Técnico
239,Avanzado,Especialista RRHH,67.3528322406995,40,11,Resolución de Problemas,Dominio de Ventas
240,Avanzado,Desarrollador,86.82794584232211,31,13,Comunicación,Rol de Liderazgo
241,Avanzado,Especialista RRHH,80.46975764798839,36,2,Liderazgo,Dominio de Ventas
242,Avanzado,Representante de Ventas,72.84444301482496,17,7,Resolución de Problemas,Dominio de Ventas
243,Principiante,Analista,79.297655975425,28,15,Liderazgo,Dominio de Ventas
244,Principiante,Representante de Ventas,76.99045409858353,6,7,Trabajo en Equipo,Dominio de Ventas
245,Intermedio,Desarrollador,81.49710720785652,39,12,Técnico,Dominio de Ventas
246,Intermedio,Especialista RRHH,72.6703233533485,5,7,Técnico,Expertise Técnico
247,Principiante,Especialista RRHH,52.893476734808296,19,5,Trabajo en Equipo,Habilidades Transversales
248,Intermedio,Gerente,83.63903505106799,54,15,Técnico,Habilidades Transversales
249,Intermedio,Analista,74.34854847533083,55,7,Técnico,Habilidades Transversales
250,Avanzado,Representante de Ventas,67.14218672580654,72,2,Trabajo en Equipo,Expertise Técnico
251,Intermedio,Analista,71.25235973726267,52,2,Comunicación,Rol de Liderazgo
252,Intermedio,Desarrollador,73.03404546412648,72,19,Técnico,Expertise Técnico
253,Intermedio,Gerente,60.12812297130883,71,9,Comunicación,Expertise Técnico
254,Intermedio,Representante de Ventas,66.1176255810052,32,2,Liderazgo,Rol de Liderazgo
255,Avanzado,Desarrollador,73.8505788899588,21,14,Liderazgo,Dominio de Ventas
256,Principiante,Analista,73.29763309452115,49,15,Técnico,Dominio de Ventas
257,Intermedio,Gerente,65.66430838913166,26,12,Liderazgo,Dominio de Ventas
258,Intermedio,Representante de Ventas,62.1173389467658,47,19,Trabajo en Equipo,Rol de Liderazgo
259,Intermedio,Analista,66.4697745823138,65,15,Técnico,Expertise Técnico
260,Principiante,Representante de Ventas,77.96725019228063,12,6,Trabajo en Equipo,Expertise Técnico
261,Principiante,Gerente,68.53587120409144,1,10,Comunicación,Rol de Liderazgo
262,Principiante,Gerente,83.72040958117083,45,10,Resolución de Problemas,Dominio de Ventas
263,Intermedio,Analista,86.62119110339725,70,3,Resolución de Problemas,Rol de Liderazgo
264,Avanzado,Representante de Ventas,92.43854260111777,10,9,Técnico,Expertise Técnico
265,Intermedio,Especialista RRHH,81.24538481078012,25,5,Trabajo en Equipo,Habilidades Transversales
266,Principiante,Desarrollador,79.22409665931394,62,7,Resolución de Problemas,Habilidades Transversales
267,Intermedio,Gerente,88.77377567621019,48,19,Técnico,Habilidades Transversales
268,Principiante,Representante de Ventas,62.817775320608916,62,10,Resolución de Problemas,Dominio de Ventas
269,Avanzado,Analista,81.263299478787,20,11,Resolución de Problemas,Dominio de Ventas
270,Intermedio,Analista,84.4923568388678,48,6,Liderazgo,Dominio de Ventas
271,Avanzado,Gerente,74.89647394962948,78,19,Técnico,Dominio de Ventas
272,Intermedio,Gerente,83.2261912952405,79,7,Resolución de Problemas,Rol de Liderazgo
273,Avanzado,Especialista RRHH,71.66093226395127,8,16,Técnico,Habilidades Transversales
274,Principiante,Analista,75.39465684983706,20,12,Liderazgo,Habilidades Transversales
275,Principiante,Representante de Ventas,78.66511830320418,52,18,Técnico,Dominio de Ventas
276,Principiante,Desarrollador,78.36827707271912,54,14,Liderazgo,Dominio de Ventas
277,Intermedio,Desarrollador,61.1037361948878,40,16,Resolución de Problemas,Rol de Liderazgo
278,Intermedio,Especialista RRHH,69.86308968965835,5,6,Resolución de Problemas,Rol de Liderazgo
279,Intermedio,Representante de Ventas,75.42337023401724,0,1,Resolución de Problemas,Rol de Liderazgo
280,Avanzado,Desarrollador,78.92135062421009,63,13,Liderazgo,Habilidades Transversales
281,Principiante,Desarrollador,81.73249229841707,4,6,Comunicación,Habilidades Transversales
282,Intermedio,Representante de Ventas,75.24419611148329,25,6,Liderazgo,Habilidades Transversales
283,Avanzado,Representante de Ventas,86.08045088660903,0,6,Liderazgo,Habilidades Transversales
284,Intermedio,Gerente,72.07492060937471,0,12,Trabajo en Equipo,Rol de Liderazgo
285,Avanzado,Desarrollador,83.56845694177485,37,9,Resolución de Problemas,Dominio de Ventas
286,Intermedio,Desarrollador,73.50021467206284,40,7,Resolución de Problemas,Habilidades Transversales
287,Intermedio,Especialista RRHH,65.82944233430952,27,3,Trabajo en Equipo,Rol de Liderazgo
288,Principiante,Gerente,100.0,4,15,Comunicación,Dominio de Ventas
289,Avanzado,Gerente,79.99198433575083,20,2,Técnico,Expertise Técnico
290,Avanzado,Desarrollador,56.59087173768431,62,18,Resolución de Problemas,Dominio de Ventas
291,Avanzado,Analista,84.03530253752243,11,1,Resolución de Problemas,Expertise Técnico
292,Intermedio,Analista,76.64544017715598,5,1,Liderazgo,Expertise Técnico
293,Avanzado,Representante de Ventas,83.67031642880049,28,11,Comunicación,Habilidades Transversales
294,Intermedio,Gerente,80.41937516089399,60,3,Comunicación,Rol de Liderazgo
295,Intermedio,Desarrollador,67.36398088974718,34,10,Comunicación,Dominio de Ventas
296,Avanzado,Desarrollador,84.2010315191141,74,12,Comunicación,Expertise Técnico
297,Principiante,Desarrollador,68.37243672919725,51,6,Trabajo en Equipo,Rol de Liderazgo
298,Principiante,Especialista RRHH,66.9267298894579,32,7,Liderazgo,Dominio de Ventas
299,Intermedio,Analista,71.65056983210407,24,17,Trabajo en Equipo,Habilidades Transversales
300,Intermedio,Especialista RRHH,64.61962903790153,13,17,Trabajo en Equipo,Dominio de Ventas
301,Intermedio,Desarrollador,80.01110546833351,52,4,Técnico,Habilidades Transversales
302,Intermedio,Desarrollador,95.85627402830539,60,1,Liderazgo,Dominio de Ventas
303,Avanzado,Gerente,63.9604884790089,12,1,Comunicación,Dominio de Ventas
304,Intermedio,Gerente,88.74855721316513,14,17,Liderazgo,Expertise Técnico
305,Principiante,Analista,69.0126863425807,54,11,Comunicación,Expertise Técnico
306,Intermedio,Representante de Ventas,69.06343916746604,52,3,Técnico,Expertise Técnico
307,Avanzado,Desarrollador,63.58499436049938,71,10,Resolución de Problemas,Habilidades Transversales
308,Principiante,Gerente,78.42963528365695,46,2,Trabajo en Equipo,Dominio de Ventas
309,Intermedio,Analista,61.76298378028727,44,16,Técnico,Dominio de Ventas
310,Principiante,Especialista RRHH,70.25990594728495,74,16,Trabajo en Equipo,Habilidades Transversales
311,Intermedio,Desarrollador,86.08852279203785,63,8,Comunicación,Dominio de Ventas
