Años_Experiencia,Edad,Nivel_Educativo,Industria,Departamento,Tasa_Rotación,Crecimiento_Empresa,Demanda_Actual_Talento,Demanda_Futura_Talento,Satisfaccion_Laboral,Genero,Salario_Anual
2.2,43.0,Universitario,Manufactura,Ventas,0.232,0.033,46,57,2,Femenino,45000
4.2,39.0,Postgrado,Manufactura,Finanzas,0.078,0.096,47,52,3,Femenino,64000
4.3,37.0,Técnico,Salud,Ventas,0.092,0.047,7,7,3,Masculino,31000
3.4,36.0,Postgrado,Salud,Finanzas,0.171,0.023,18,21,5,Otro,73000
4.7,38.0,Secundaria,Educación,Operaciones,0.15,0.063,23,27,5,Otro,29000
5.8,37.0,Secundaria,Educación,Finanzas,0.11,0.1,35,40,4,Femenino,20000
8.8,27.0,Secundaria,Salud,Finanzas,0.227,0.091,40,50,1,Femenino,26000
5.3,35.0,Secundaria,Tecnología,Finanzas,0.23,0.035,36,44,1,Otro,23000
5.5,26.0,Postgrado,Salud,Operaciones,0.108,0.062,30,34,2,Masculino,70000
4.9,36.0,Postgrado,Educación,Recursos Humanos,0.081,0.02,5,5,4,Masculino,72000
1.2,31.0,Postgrado,Finanzas,Finanzas,0.08,0.052,6,6,1,Femenino,76000
4.9,55.0,Secundaria,Manufactura,Recursos Humanos,0.147,0.057,10,11,3,Masculino,24000
5.1,35.0,Secundaria,Finanzas,Desarrollo,0.077,0.038,49,53,4,Femenino,23000
9.9,24.0,Universitario,Finanzas,Ventas,0.145,0.054,18,21,3,Masculino,40000
4.6,34.0,Universitario,Manufactura,Recursos Humanos,0.142,0.093,32,38,2,Femenino,49000
5.6,39.0,Secundaria,Salud,Desarrollo,0.227,0.055,37,46,4,Masculino,21000
4.9,48.0,Universitario,Tecnología,Ventas,0.109,0.085,29,33,2,Femenino,52000
2.7,30.0,Técnico,Finanzas,Finanzas,0.162,0.039,44,51,5,Otro,38000
7.3,22.0,Técnico,Tecnología,Finanzas,0.199,0.097,22,27,2,Otro,30000
6.5,42.0,Secundaria,Educación,Finanzas,0.169,0.018,38,44,5,Otro,29000
6.6,24.0,Postgrado,Finanzas,Operaciones,0.241,0.063,16,20,4,Otro,79000
3.2,32.0,Técnico,Educación,Operaciones,0.17,0.081,31,37,3,Femenino,37000
7.8,33.0,Técnico,Salud,Operaciones,0.23,0.083,28,35,3,Masculino,34000
2.2,34.0,Postgrado,Finanzas,Operaciones,0.099,0.028,37,41,3,Femenino,69000
6.2,41.0,Universitario,Educación,Desarrollo,0.162,0.046,19,22,2,Femenino,46000
9.4,30.0,Postgrado,Educación,Desarrollo,0.159,0.066,47,56,4,Femenino,74000
3.0,33.0,Universitario,Salud,Finanzas,0.248,0.038,36,45,4,Masculino,57000
3.9,35.0,Universitario,Tecnología,Ventas,0.091,0.069,21,23,5,Femenino,59000
5.2,36.0,Postgrado,Tecnología,Operaciones,0.078,0.044,39,42,4,Otro,63000
4.0,36.0,Universitario,Finanzas,Ventas,0.172,0.042,49,58,3,Otro,40000
1.9,38.0,Técnico,Salud,Desarrollo,0.095,0.02,39,43,4,Femenino,37000
5.1,42.0,Secundaria,Finanzas,Operaciones,0.178,0.014,17,20,5,Otro,22000
2.9,38.0,Universitario,Tecnología,Desarrollo,0.244,0.085,13,16,4,Otro,51000
5.9,39.0,Técnico,Salud,Desarrollo,0.239,0.054,14,17,4,Masculino,33000
3.2,22.0,Postgrado,Manufactura,Recursos Humanos,0.096,0.061,5,5,3,Femenino,77000
8.1,35.0,Universitario,Salud,Desarrollo,0.084,0.043,38,42,4,Femenino,51000
3.4,39.0,Técnico,Salud,Finanzas,0.162,0.022,41,48,2,Otro,39000
4.4,41.0,Universitario,Manufactura,Desarrollo,0.167,0.05,29,34,5,Femenino,54000
6.6,29.0,Postgrado,Educación,Operaciones,0.182,0.031,26,31,5,Femenino,62000
2.5,30.0,Secundaria,Educación,Finanzas,0.198,0.085,14,17,5,Otro,27000
5.5,30.0,Universitario,Educación,Desarrollo,0.17,0.099,30,36,4,Otro,54000
7.6,39.0,Secundaria,Tecnología,Finanzas,0.072,0.09,23,25,2,Femenino,20000
1.8,43.0,Universitario,Salud,Desarrollo,0.208,0.058,44,54,5,Masculino,55000
5.4,32.0,Universitario,Manufactura,Finanzas,0.066,0.067,49,53,1,Otro,41000
5.5,42.0,Postgrado,Tecnología,Ventas,0.054,0.095,45,49,3,Femenino,60000
6.6,36.0,Universitario,Manufactura,Recursos Humanos,0.204,0.058,8,9,1,Otro,43000
2.5,34.0,Técnico,Tecnología,Finanzas,0.16,0.067,44,52,1,Femenino,39000
2.4,33.0,Técnico,Tecnología,Operaciones,0.19,0.067,9,11,5,Femenino,30000
6.0,41.0,Secundaria,Tecnología,Recursos Humanos,0.127,0.074,33,38,1,Masculino,26000
5.6,38.0,Secundaria,Manufactura,Recursos Humanos,0.052,0.068,42,45,1,Otro,28000
5.5,53.0,Técnico,Finanzas,Desarrollo,0.116,0.07,9,10,2,Masculino,34000
5.7,28.0,Secundaria,Tecnología,Finanzas,0.172,0.075,5,6,3,Otro,26000
3.6,39.0,Secundaria,Educación,Recursos Humanos,0.095,0.083,32,36,4,Masculino,23000
5.5,31.0,Técnico,Salud,Operaciones,0.188,0.046,23,27,5,Otro,33000
5.6,28.0,Técnico,Finanzas,Operaciones,0.209,0.077,40,49,5,Masculino,33000
3.6,35.0,Técnico,Finanzas,Operaciones,0.141,0.019,5,5,1,Masculino,34000
8.7,36.0,Postgrado,Manufactura,Desarrollo,0.225,0.089,33,41,4,Otro,67000
5.9,58.0,Postgrado,Finanzas,Ventas,0.221,0.036,40,49,4,Masculino,79000
2.6,34.0,Técnico,Manufactura,Finanzas,0.226,0.046,36,44,4,Masculino,36000
6.3,26.0,Universitario,Manufactura,Recursos Humanos,0.182,0.082,18,22,5,Otro,48000
3.1,37.0,Técnico,Educación,Finanzas,0.111,0.067,36,41,5,Otro,35000
6.6,18.0,Postgrado,Tecnología,Recursos Humanos,0.146,0.038,13,15,2,Femenino,63000
7.3,34.0,Secundaria,Finanzas,Desarrollo,0.192,0.03,23,27,5,Otro,24000
3.4,35.0,Universitario,Tecnología,Finanzas,0.092,0.096,15,17,5,Femenino,47000
6.9,41.0,Universitario,Tecnología,Desarrollo,0.198,0.018,8,9,2,Masculino,59000
5.8,43.0,Secundaria,Tecnología,Desarrollo,0.16,0.01,45,52,5,Otro,23000
6.6,31.0,Universitario,Manufactura,Finanzas,0.069,0.071,29,32,1,Femenino,46000
8.8,34.0,Secundaria,Tecnología,Finanzas,0.161,0.065,21,25,1,Otro,25000
4.5,29.0,Postgrado,Finanzas,Recursos Humanos,0.063,0.076,12,13,2,Femenino,60000
3.5,26.0,Universitario,Manufactura,Operaciones,0.053,0.076,49,53,2,Femenino,48000
3.2,37.0,Universitario,Finanzas,Desarrollo,0.228,0.088,5,6,1,Otro,44000
3.4,25.0,Secundaria,Manufactura,Ventas,0.148,0.093,6,7,4,Masculino,29000
4.8,32.0,Secundaria,Salud,Recursos Humanos,0.159,0.08,14,16,5,Masculino,21000
5.7,27.0,Postgrado,Salud,Recursos Humanos,0.106,0.031,31,34,3,Femenino,64000
5.6,39.0,Secundaria,Salud,Operaciones,0.159,0.052,31,36,3,Femenino,27000
6.7,49.0,Secundaria,Salud,Operaciones,0.084,0.068,17,19,2,Masculino,25000
5.0,25.0,Postgrado,Manufactura,Desarrollo,0.199,0.059,15,18,3,Otro,63000
7.9,20.0,Técnico,Tecnología,Recursos Humanos,0.215,0.024,18,22,4,Otro,39000
4.5,34.0,Técnico,Educación,Recursos Humanos,0.221,0.063,36,45,3,Masculino,32000
10.4,35.0,Secundaria,Educación,Ventas,0.071,0.09,20,22,1,Masculino,21000
6.3,37.0,Postgrado,Salud,Desarrollo,0.162,0.048,33,39,2,Masculino,74000
3.3,31.0,Técnico,Tecnología,Desarrollo,0.212,0.07,42,52,3,Femenino,38000
2.9,33.0,Postgrado,Finanzas,Operaciones,0.076,0.065,38,42,5,Masculino,76000
6.0,38.0,Secundaria,Tecnología,Desarrollo,0.07,0.044,30,32,2,Masculino,29000
4.6,43.0,Secundaria,Finanzas,Ventas,0.213,0.061,9,11,4,Masculino,21000
6.4,19.0,Postgrado,Educación,Desarrollo,0.209,0.029,23,28,1,Masculino,65000
5.9,32.0,Universitario,Tecnología,Finanzas,0.14,0.059,43,50,3,Otro,40000
4.9,37.0,Secundaria,Tecnología,Finanzas,0.072,0.082,32,35,1,Otro,27000
3.3,28.0,Secundaria,Educación,Ventas,0.153,0.078,32,38,4,Masculino,23000
2.0,49.0,Secundaria,Tecnología,Operaciones,0.129,0.042,21,24,3,Femenino,26000
4.1,30.0,Secundaria,Finanzas,Recursos Humanos,0.154,0.02,41,47,2,Femenino,29000
6.7,35.0,Postgrado,Tecnología,Desarrollo,0.138,0.082,48,56,2,Otro,74000
5.4,39.0,Postgrado,Finanzas,Operaciones,0.164,0.034,23,27,5,Femenino,68000
2.5,30.0,Postgrado,Salud,Operaciones,0.195,0.015,31,37,4,Femenino,61000
5.3,20.0,Postgrado,Tecnología,Desarrollo,0.205,0.05,16,19,3,Otro,66000
5.8,32.0,Universitario,Finanzas,Recursos Humanos,0.18,0.077,7,8,1,Masculino,56000
3.2,43.0,Postgrado,Educación,Desarrollo,0.09,0.083,8,9,1,Masculino,62000
5.3,32.0,Postgrado,Salud,Recursos Humanos,0.129,0.098,15,17,3,Otro,63000
5.1,28.0,Secundaria,Tecnología,Ventas,0.064,0.027,38,40,4,Masculino,22000
2.7,42.0,Universitario,Finanzas,Recursos Humanos,0.14,0.036,22,25,4,Masculino,47000
5.7,32.0,Secundaria,Tecnología,Operaciones,0.244,0.065,39,49,1,Otro,26000
6.1,31.0,Universitario,Finanzas,Ventas,0.178,0.083,22,26,3,Otro,58000
7.2,36.0,Técnico,Tecnología,Finanzas,0.081,0.031,10,10,3,Otro,36000
7.1,41.0,Universitario,Salud,Ventas,0.104,0.047,38,42,1,Femenino,41000
2.2,54.0,Universitario,Salud,Recursos Humanos,0.063,0.047,37,40,3,Otro,51000
3.1,42.0,Secundaria,Tecnología,Ventas,0.086,0.08,12,13,3,Otro,22000
6.0,44.0,Universitario,Tecnología,Ventas,0.148,0.032,46,53,2,Otro,49000
6.0,31.0,Universitario,Manufactura,Finanzas,0.119,0.097,24,28,2,Otro,44000
6.0,27.0,Secundaria,Tecnología,Recursos Humanos,0.091,0.056,24,26,5,Masculino,28000
12.7,35.0,Técnico,Tecnología,Operaciones,0.079,0.035,47,51,5,Otro,37000
6.1,36.0,Técnico,Salud,Ventas,0.181,0.036,22,26,4,Otro,35000
7.3,26.0,Técnico,Tecnología,Desarrollo,0.162,0.012,31,36,2,Femenino,33000
6.9,34.0,Universitario,Educación,Operaciones,0.219,0.072,9,11,2,Femenino,42000
6.3,38.0,Secundaria,Tecnología,Ventas,0.087,0.08,11,12,2,Masculino,25000
4.4,38.0,Técnico,Manufactura,Operaciones,0.22,0.013,26,31,2,Otro,38000
6.5,39.0,Técnico,Finanzas,Desarrollo,0.166,0.063,38,45,4,Otro,34000
3.5,37.0,Técnico,Salud,Operaciones,0.103,0.08,47,53,1,Otro,36000
4.5,31.0,Técnico,Educación,Operaciones,0.105,0.044,17,19,4,Femenino,36000
4.0,31.0,Secundaria,Finanzas,Desarrollo,0.128,0.049,36,41,1,Masculino,26000
5.2,25.0,Técnico,Educación,Desarrollo,0.142,0.043,28,32,5,Femenino,38000
9.6,49.0,Universitario,Salud,Desarrollo,0.067,0.038,20,21,2,Otro,41000
1.3,35.0,Universitario,Manufactura,Finanzas,0.218,0.054,18,22,1,Femenino,47000
6.4,33.0,Secundaria,Salud,Desarrollo,0.074,0.025,43,46,4,Otro,21000
1.8,28.0,Postgrado,Educación,Operaciones,0.147,0.05,11,12,1,Otro,60000
4.1,58.0,Técnico,Educación,Desarrollo,0.127,0.095,48,56,3,Otro,39000
7.2,26.0,Técnico,Salud,Ventas,0.152,0.012,16,18,5,Masculino,35000
5.1,32.0,Universitario,Tecnología,Desarrollo,0.227,0.025,24,29,5,Femenino,57000
2.8,38.0,Secundaria,Salud,Desarrollo,0.248,0.08,37,47,2,Otro,24000
3.6,40.0,Postgrado,Manufactura,Recursos Humanos,0.054,0.022,10,10,2,Otro,60000
6.4,43.0,Universitario,Salud,Operaciones,0.129,0.034,44,50,4,Masculino,40000
3.5,49.0,Postgrado,Finanzas,Operaciones,0.214,0.051,31,38,1,Masculino,71000
5.4,39.0,Secundaria,Tecnología,Ventas,0.115,0.095,17,19,3,Otro,27000
5.1,27.0,Secundaria,Finanzas,Finanzas,0.18,0.027,9,10,5,Otro,24000
3.7,33.0,Secundaria,Salud,Recursos Humanos,0.248,0.093,28,36,1,Otro,24000
9.3,37.0,Universitario,Tecnología,Ventas,0.179,0.075,14,17,3,Otro,42000
6.3,52.0,Secundaria,Finanzas,Ventas,0.072,0.07,36,39,1,Masculino,21000
0.9,24.0,Universitario,Finanzas,Operaciones,0.219,0.075,13,16,2,Femenino,45000
5.4,45.0,Universitario,Tecnología,Recursos Humanos,0.243,0.013,39,48,5,Masculino,43000
3.7,36.0,Técnico,Tecnología,Operaciones,0.193,0.019,48,57,3,Masculino,39000
6.7,42.0,Universitario,Educación,Finanzas,0.134,0.04,16,18,2,Femenino,43000
3.4,34.0,Universitario,Tecnología,Operaciones,0.24,0.017,15,18,4,Otro,45000
4.8,28.0,Técnico,Salud,Desarrollo,0.244,0.099,40,51,4,Otro,31000
6.0,41.0,Postgrado,Manufactura,Operaciones,0.237,0.062,12,15,2,Femenino,77000
6.7,40.0,Técnico,Educación,Desarrollo,0.132,0.054,14,16,3,Masculino,39000
2.6,43.0,Técnico,Tecnología,Ventas,0.208,0.081,18,22,3,Otro,39000
4.3,35.0,Secundaria,Manufactura,Finanzas,0.181,0.098,34,41,5,Femenino,23000
4.1,30.0,Secundaria,Educación,Desarrollo,0.086,0.096,5,5,2,Femenino,25000
3.7,23.0,Técnico,Salud,Finanzas,0.157,0.081,16,19,4,Femenino,31000
8.5,42.0,Secundaria,Manufactura,Operaciones,0.2,0.044,9,10,2,Otro,26000
5.8,38.0,Técnico,Tecnología,Operaciones,0.229,0.016,18,22,1,Femenino,37000
2.5,27.0,Secundaria,Tecnología,Ventas,0.223,0.019,40,49,3,Masculino,28000
6.8,31.0,Universitario,Salud,Operaciones,0.081,0.01,21,22,1,Masculino,45000
9.2,31.0,Secundaria,Educación,Desarrollo,0.148,0.01,26,29,4,Femenino,21000
7.1,23.0,Secundaria,Manufactura,Ventas,0.146,0.094,35,41,3,Femenino,25000
2.0,28.0,Universitario,Salud,Finanzas,0.23,0.093,30,38,4,Femenino,47000
4.0,26.0,Técnico,Educación,Ventas,0.05,0.07,17,18,4,Masculino,39000
7.5,32.0,Secundaria,Finanzas,Finanzas,0.198,0.075,7,8,4,Otro,20000
3.6,29.0,Secundaria,Finanzas,Recursos Humanos,0.174,0.056,47,56,5,Masculino,25000
5.9,22.0,Universitario,Educación,Desarrollo,0.234,0.031,15,18,4,Femenino,51000
6.5,51.0,Universitario,Tecnología,Desarrollo,0.141,0.092,9,10,4,Otro,50000
3.1,45.0,Universitario,Tecnología,Finanzas,0.182,0.035,42,50,1,Otro,56000
4.9,29.0,Postgrado,Finanzas,Operaciones,0.245,0.077,8,10,1,Femenino,75000
0.0,37.0,Universitario,Tecnología,Operaciones,0.199,0.032,36,43,1,Femenino,49000
3.0,38.0,Técnico,Tecnología,Recursos Humanos,0.063,0.088,14,15,3,Masculino,33000
4.5,45.0,Secundaria,Educación,Finanzas,0.084,0.069,14,15,5,Masculino,22000
2.5,28.0,Secundaria,Educación,Recursos Humanos,0.214,0.068,48,59,3,Masculino,22000
8.3,44.0,Postgrado,Tecnología,Finanzas,0.117,0.019,22,24,5,Femenino,63000
2.1,31.0,Secundaria,Educación,Recursos Humanos,0.191,0.048,27,32,5,Otro,22000
4.1,24.0,Secundaria,Manufactura,Finanzas,0.19,0.057,22,26,2,Masculino,28000
5.3,41.0,Técnico,Finanzas,Desarrollo,0.249,0.036,39,49,2,Femenino,33000
7.9,45.0,Secundaria,Manufactura,Recursos Humanos,0.144,0.089,7,8,2,Otro,20000
2.1,56.0,Técnico,Manufactura,Recursos Humanos,0.198,0.085,5,6,5,Femenino,33000
7.3,25.0,Postgrado,Tecnología,Finanzas,0.06,0.054,21,22,5,Femenino,76000
5.0,41.0,Técnico,Tecnología,Ventas,0.143,0.041,46,53,3,Femenino,39000
3.0,32.0,Universitario,Manufactura,Ventas,0.087,0.082,10,11,5,Masculino,42000
5.9,41.0,Universitario,Manufactura,Desarrollo,0.218,0.028,15,18,4,Femenino,59000
5.4,23.0,Postgrado,Salud,Operaciones,0.218,0.016,18,22,4,Femenino,63000
3.8,25.0,Secundaria,Salud,Operaciones,0.097,0.014,32,35,5,Femenino,28000
5.1,29.0,Técnico,Finanzas,Desarrollo,0.114,0.013,43,48,4,Masculino,35000
4.2,36.0,Universitario,Manufactura,Operaciones,0.19,0.054,40,48,5,Femenino,58000
5.2,30.0,Técnico,Educación,Finanzas,0.198,0.033,15,18,2,Femenino,36000
6.3,40.0,Universitario,Salud,Ventas,0.182,0.072,45,54,5,Masculino,55000
8.2,43.0,Técnico,Tecnología,Desarrollo,0.249,0.069,44,56,2,Femenino,33000
2.5,40.0,Secundaria,Manufactura,Finanzas,0.224,0.059,8,10,1,Otro,26000
9.3,48.0,Postgrado,Educación,Desarrollo,0.133,0.042,10,11,4,Femenino,61000
1.1,38.0,Secundaria,Educación,Ventas,0.115,0.087,42,48,1,Femenino,26000
4.7,25.0,Técnico,Educación,Operaciones,0.169,0.074,23,27,4,Masculino,37000
6.2,46.0,Universitario,Tecnología,Finanzas,0.214,0.034,35,43,1,Masculino,46000
5.6,30.0,Universitario,Salud,Ventas,0.145,0.055,6,7,5,Masculino,45000
3.8,42.0,Postgrado,Educación,Desarrollo,0.198,0.024,47,56,1,Masculino,79000
4.6,48.0,Secundaria,Salud,Recursos Humanos,0.054,0.04,29,31,4,Otro,28000
4.0,39.0,Secundaria,Finanzas,Finanzas,0.235,0.1,45,57,3,Femenino,20000
3.8,23.0,Secundaria,Tecnología,Desarrollo,0.205,0.03,15,18,4,Femenino,24000
